Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.27     0.00    45030     0.00     0.00  std::remove_reference<Node*&>::type&& std::move<Node*&>(Node*&)
  0.00      0.27     0.00    42273     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      0.27     0.00    33979     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.27     0.00    27978     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      0.27     0.00    27263     0.00     0.00  std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>&&)
  0.00      0.27     0.00    27263     0.00     0.00  std::remove_reference<std::shared_ptr<Node>&>::type&& std::move<std::shared_ptr<Node>&>(std::shared_ptr<Node>&)
  0.00      0.27     0.00    17343     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.27     0.00    17147     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.27     0.00    15010     0.00     0.00  std::shared_ptr<Node>::operator=(std::shared_ptr<Node>&&)
  0.00      0.27     0.00    15010     0.00     0.00  std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>::swap(std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>&)
  0.00      0.27     0.00    15010     0.00     0.00  std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>&&)
